DOY_Cont,Label,Depth,SM_%
323.63541667,SM_Depth_8,2.7,5.4
323.63541667,SM_Depth_9,3,11.1
323.64583333,SM_Depth_1,0.05,14.0
323.64583333,SM_Depth_2,0.1,13.7
323.64583333,SM_Depth_3,0.2,11.7
323.64583333,SM_Depth_4,0.5,11.2
323.64583333,SM_Depth_5,1,9.7
323.64583333,SM_Depth_7,2.5,4.8
323.64583333,SM_Depth_6,2,7.2
323.64583333,SM_Depth_8,2.7,5.4
323.64583333,SM_Depth_9,3,11.1
323.65625,SM_Depth_1,0.05,14.1
323.65625,SM_Depth_2,0.1,13.7
323.65625,SM_Depth_3,0.2,11.7
323.65625,SM_Depth_4,0.5,11.2
323.65625,SM_Depth_5,1,9.7
323.65625,SM_Depth_7,2.5,4.8
323.65625,SM_Depth_6,2,7.2
323.65625,SM_Depth_8,2.7,5.4
323.65625,SM_Depth_9,3,11.1
323.66666667,SM_Depth_1,0.05,14.1
323.66666667,SM_Depth_2,0.1,13.7
323.66666667,SM_Depth_3,0.2,11.7
323.66666667,SM_Depth_4,0.5,11.2
323.66666667,SM_Depth_5,1,9.7
323.66666667,SM_Depth_7,2.5,4.8
323.66666667,SM_Depth_6,2,7.2
323.66666667,SM_Depth_8,2.7,5.4
323.66666667,SM_Depth_9,3,11.1
323.67708333,SM_Depth_1,0.05,14.1
323.67708333,SM_Depth_2,0.1,13.7
323.67708333,SM_Depth_3,0.2,11.7
323.67708333,SM_Depth_4,0.5,11.2
323.67708333,SM_Depth_5,1,9.7
323.67708333,SM_Depth_7,2.5,4.8
323.67708333,SM_Depth_6,2,7.2
323.67708333,SM_Depth_8,2.7,5.4
323.67708333,SM_Depth_9,3,11.1
323.6875,SM_Depth_1,0.05,14.0
323.6875,SM_Depth_2,0.1,13.7
323.6875,SM_Depth_3,0.2,11.7
323.6875,SM_Depth_4,0.5,11.2
323.6875,SM_Depth_5,1,9.7
323.6875,SM_Depth_7,2.5,4.8
323.6875,SM_Depth_6,2,7.2
323.6875,SM_Depth_8,2.7,5.4
323.6875,SM_Depth_9,3,11.1
323.69791667,SM_Depth_1,0.05,14.0
323.69791667,SM_Depth_2,0.1,13.7
323.69791667,SM_Depth_3,0.2,11.7
323.69791667,SM_Depth_4,0.5,11.2
323.69791667,SM_Depth_5,1,9.7
323.69791667,SM_Depth_7,2.5,4.8
323.69791667,SM_Depth_6,2,7.2
323.69791667,SM_Depth_8,2.7,5.4
323.69791667,SM_Depth_9,3,11.1
323.70833333,SM_Depth_1,0.05,14.0
323.70833333,SM_Depth_2,0.1,13.7
323.70833333,SM_Depth_3,0.2,11.7
323.70833333,SM_Depth_4,0.5,11.2
323.70833333,SM_Depth_5,1,9.7
323.70833333,SM_Depth_7,2.5,4.8
323.70833333,SM_Depth_6,2,7.2
323.70833333,SM_Depth_8,2.7,5.4
323.70833333,SM_Depth_9,3,11.1
323.71875,SM_Depth_1,0.05,14.0
323.71875,SM_Depth_2,0.1,13.7
323.71875,SM_Depth_3,0.2,11.7
323.71875,SM_Depth_4,0.5,11.2
323.71875,SM_Depth_5,1,9.7
323.71875,SM_Depth_7,2.5,4.8
323.71875,SM_Depth_6,2,7.2
323.71875,SM_Depth_8,2.7,5.4
323.71875,SM_Depth_9,3,11.1
323.72916667,SM_Depth_1,0.05,14.0
323.72916667,SM_Depth_2,0.1,13.7
323.72916667,SM_Depth_3,0.2,11.7
323.72916667,SM_Depth_4,0.5,11.2
323.72916667,SM_Depth_5,1,9.7
