drel,Campaign,d13C
5.42674768518518,ambient,-4.767983198623183
5.46842592592593,ambient,-5.6914841702188905
5.51009259259259,ambient,-5.972696539572656
5.55174768518518,ambient,-6.3030120118602255
5.59342592592593,ambient,-6.879571857483808
5.63509259259259,ambient,-6.9337396760184085
5.71842592592593,ambient,NA
5.76009259259259,ambient,NA
5.80174768518518,ambient,NA
5.84341435185185,ambient,NA
5.88510416666667,ambient,NA
5.92675925925926,ambient,NA
5.96842592592593,ambient,-6.555598138521246
6.01008101851852,ambient,-5.171592596087962
6.05175925925926,ambient,-3.6127590197612633
6.09340277777778,ambient,-2.0862975377871678
6.13509259259259,ambient,-2.1928001753129873
6.17673611111111,ambient,-2.5875049708600635
6.21841435185185,ambient,-3.3002547484071574
6.26009259259259,ambient,-3.4483472458693445
6.30174768518518,ambient,-3.7047780017614933
6.34342592592593,ambient,-4.336295749552733
6.38510416666667,ambient,-4.40373482831564
6.42674768518518,ambient,-5.527453183118157
6.46840277777778,ambient,-5.693145787469062
6.51009259259259,ambient,-6.03019624789537
6.55175925925926,ambient,-6.294180687438001
6.59344907407407,ambient,-6.469826562678883
6.63510416666667,ambient,-6.331037126517464
6.71841435185185,ambient,NA
6.76009259259259,ambient,NA
6.80174768518518,ambient,NA
6.8434375,ambient,NA
6.88508101851852,ambient,NA
6.92674768518518,ambient,NA
6.96842592592593,ambient,-6.196143004412451
7.01010416666667,ambient,-4.713798847091235
7.05174768518518,ambient,-3.6423075556561457
7.09341435185185,ambient,NA
7.13510416666667,ambient,-2.6230668583027903
7.17677083333333,ambient,-2.548307411690141
7.21841435185185,ambient,-2.9371308344304126
7.26009259259259,ambient,-3.102470410983649
7.30174768518518,ambient,-3.6884460750062225
7.34342592592593,ambient,-3.9698950238800492
7.38508101851852,ambient,-4.71277208428894
7.42677083333333,ambient,-5.662313462480276
7.46842592592593,ambient,-6.486390937284829
7.51008101851852,ambient,-6.857317349349308
7.55173611111111,ambient,-7.202137624556617
7.59341435185185,ambient,-6.938266648523598
7.63508101851852,ambient,-7.416064974697171
7.71841435185185,ambient,NA
7.76010416666667,ambient,NA
7.80173611111111,ambient,NA
7.84341435185185,ambient,NA
7.88508101851852,ambient,NA
7.92675925925926,ambient,NA
7.96841435185185,ambient,-6.747117171905086
8.01010416666667,ambient,-5.15712763540134
8.05175925925926,ambient,-3.8446738779238796
8.0934375,ambient,-3.7188256001130338
8.13508101851852,ambient,-3.1379169073612267
8.17677083333333,ambient,-3.4591692086749877
8.21841435185185,ambient,-3.691689032240589
8.26010416666667,ambient,-3.9718047792774964
8.30174768518519,ambient,-4.199500408662702
8.34342592592593,ambient,-4.596890954794434
8.38510416666667,ambient,-4.788697758492644
8.42674768518519,ambient,-5.604532476707238
8.4684375,ambient,-6.125310772978137
8.51009259259259,ambient,-6.384686561568444
8.55174768518519,ambient,-7.054199193090157
8.59340277777778,ambient,-7.055067940742565
